,experiment,propagationTime,messageOverhead,messageReceived,graft,prune,iwant,ihave,messageBandwidth,totalBandwidth,gossipReceived,gossipBandwidth,topology,d,dlo,dhi,dscore,dlazy,dout,gossipFactor,interval,topics,topicSize
16018,780,262.5,166.0,26.0,0.0,0.0,0.0,69.0,5.2,81.0,193.0,38.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
16019,780,432.0,144.0,22.0,0.0,0.0,0.0,92.0,4.4,75.2,215.0,43.0,validator,8,6,12,4,8,2,0.25,3.0,16,1
16020,780,285.0,130.0,20.0,0.0,0.0,0.0,67.0,4.0,68.6,199.0,39.8,validator,8,6,12,4,8,2,0.25,3.0,16,1
16021,780,316.5,166.0,26.0,0.0,0.0,0.0,71.0,5.2,81.4,244.0,48.8,validator,8,6,12,4,8,2,0.25,3.0,16,1
16022,780,303.0,134.0,21.0,0.0,0.0,0.0,92.0,4.2,70.8,220.0,44.0,validator,8,6,12,4,8,2,0.25,3.0,16,1
16023,780,367.5,175.0,27.0,0.0,0.0,0.0,67.0,5.4,89.2,177.0,35.4,validator,8,6,12,4,8,2,0.25,3.0,16,1
16024,780,285.0,171.0,26.0,0.0,0.0,0.0,71.0,5.2,83.4,245.0,49.0,validator,8,6,12,4,8,2,0.25,3.0,16,1
16025,780,271.0,116.0,17.0,0.0,0.0,0.0,91.0,3.4,62.0,216.0,43.2,validator,8,6,12,4,8,2,0.25,3.0,16,1
16026,780,338.5,177.0,27.0,0.0,0.0,0.0,66.0,5.4,89.8,189.0,37.8,validator,8,6,12,4,8,2,0.25,3.0,16,1
16027,780,246.5,166.0,26.0,0.0,0.0,0.0,71.0,5.2,81.6,238.0,47.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
16028,780,249.0,125.0,19.0,0.0,0.0,0.0,92.0,3.8,66.6,179.0,35.8,validator,8,6,12,4,8,2,0.25,3.0,16,1
16029,780,340.5,171.0,26.0,0.0,0.0,0.0,66.0,5.2,87.0,181.0,36.2,validator,8,6,12,4,8,2,0.25,3.0,16,1
16030,780,253.0,135.0,21.0,0.0,0.0,0.0,71.0,4.2,67.0,238.0,47.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
16031,780,217.0,119.0,18.0,0.0,0.0,0.0,91.0,3.6,63.6,173.0,34.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
16032,780,236.0,170.0,26.0,0.0,0.0,0.0,67.0,5.2,86.8,241.0,48.2,validator,8,6,12,4,8,2,0.25,3.0,16,1
16033,780,260.0,129.0,21.0,0.0,0.0,0.0,71.0,4.2,64.6,239.0,47.8,validator,8,6,12,4,8,2,0.25,3.0,16,1
16034,780,309.5,171.0,26.0,0.0,0.0,0.0,92.0,5.2,87.6,129.0,25.8,validator,8,6,12,4,8,2,0.25,3.0,16,1
16035,780,454.5,171.0,26.0,0.0,0.0,0.0,67.0,5.2,87.2,228.0,45.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
16036,780,288.0,91.0,15.0,0.0,0.0,0.0,71.0,3.0,47.0,239.0,47.8,validator,8,6,12,4,8,2,0.25,3.0,16,1
16037,780,258.0,160.0,24.0,0.0,0.0,0.0,91.0,4.8,82.4,155.0,31.0,validator,8,6,12,4,8,2,0.25,3.0,16,1
16038,780,392.5,171.0,26.0,0.0,0.0,0.0,67.0,5.2,87.2,260.0,52.0,validator,8,6,12,4,8,2,0.25,3.0,16,1
16039,780,237.5,114.0,18.0,0.0,0.0,0.0,71.0,3.6,57.4,212.0,42.4,validator,8,6,12,4,8,2,0.25,3.0,16,1
16040,780,232.0,188.0,28.0,0.0,0.0,0.0,92.0,5.6,95.2,199.0,39.8,validator,8,6,12,4,8,2,0.25,3.0,16,1
16041,780,226.5,147.0,23.0,0.0,0.0,0.0,67.0,4.6,76.4,223.0,44.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
16042,780,313.0,153.0,23.0,0.0,0.0,0.0,70.0,4.6,75.0,215.0,43.0,validator,8,6,12,4,8,2,0.25,3.0,16,1
16043,780,338.5,155.0,24.0,0.0,0.0,0.0,92.0,4.8,80.4,226.0,45.2,validator,8,6,12,4,8,2,0.25,3.0,16,1
16044,780,251.0,150.0,22.0,0.0,0.0,0.0,67.0,4.4,77.4,221.0,44.2,validator,8,6,12,4,8,2,0.25,3.0,16,1
16045,780,317.5,176.0,27.0,0.0,0.0,0.0,71.0,5.4,85.8,198.0,39.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
16046,780,249.5,154.0,24.0,0.0,0.0,0.0,91.0,4.8,79.8,228.0,45.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
16047,780,267.0,135.0,20.0,0.0,0.0,0.0,67.0,4.0,70.6,216.0,43.2,validator,8,6,12,4,8,2,0.25,3.0,16,1
16048,780,261.5,177.0,27.0,0.0,0.0,0.0,71.0,5.4,86.4,228.0,45.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
16049,780,273.5,149.0,23.0,0.0,0.0,0.0,92.0,4.6,77.6,249.0,49.8,validator,8,6,12,4,8,2,0.25,3.0,16,1
16050,780,346.0,161.0,24.0,0.0,0.0,0.0,67.0,4.8,82.6,170.0,34.0,validator,8,6,12,4,8,2,0.25,3.0,16,1
16051,780,308.5,197.0,30.0,0.0,0.0,0.0,70.0,6.0,95.2,232.0,46.4,validator,8,6,12,4,8,2,0.25,3.0,16,1
16052,780,279.0,108.0,17.0,0.0,0.0,0.0,92.0,3.4,59.0,212.0,42.4,validator,8,6,12,4,8,2,0.25,3.0,16,1
16053,780,512.0,165.0,25.0,0.0,0.0,0.0,67.0,5.0,84.4,188.0,37.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
16054,780,331.0,164.0,25.0,0.0,0.0,0.0,71.0,5.0,80.2,237.0,47.4,validator,8,6,12,4,8,2,0.25,3.0,16,1
16055,780,284.0,124.0,20.0,0.0,0.0,0.0,91.0,4.0,66.4,228.0,45.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
16056,780,231.0,170.0,26.0,0.0,0.0,0.0,66.0,5.2,86.6,196.0,39.2,validator,8,6,12,4,8,2,0.25,3.0,16,1
16057,780,255.0,178.0,27.0,0.0,0.0,0.0,71.0,5.4,86.6,238.0,47.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
16058,780,227.0,130.0,21.0,0.0,0.0,0.0,92.0,4.2,69.4,126.0,25.2,validator,8,6,12,4,8,2,0.25,3.0,16,1
16059,780,321.0,170.0,26.0,0.0,0.0,0.0,67.0,5.2,86.8,0.0,0.0,validator,8,6,12,4,8,2,0.25,3.0,16,1
16060,780,273.0,90.0,14.0,0.0,0.0,0.0,46.0,2.8,46.0,0.0,0.0,validator,8,6,12,4,8,2,0.25,3.0,16,1
16061,780,0.0,146.0,24.0,147.0,11.0,2.0,44.0,4.8,77.6,235.0,47.0,validator,8,6,12,4,8,2,0.25,3.0,16,1
16062,780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,43.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
16063,780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,27.2,validator,8,6,12,4,8,2,0.25,3.0,16,1
16064,781,261.0,139.0,22.0,0.0,0.0,0.0,92.0,4.4,73.2,200.0,40.0,validator,8,6,12,4,8,2,0.25,3.0,16,1
16065,781,353.0,155.0,22.0,0.0,0.0,0.0,67.0,4.4,79.4,239.0,47.8,validator,8,6,12,4,8,2,0.25,3.0,16,1
16066,781,264.5,153.0,24.0,0.0,0.0,0.0,71.0,4.8,75.4,146.0,29.2,validator,8,6,12,4,8,2,0.25,3.0,16,1
16067,781,241.0,169.0,26.0,0.0,0.0,0.0,92.0,5.2,86.8,217.0,43.4,validator,8,6,12,4,8,2,0.25,3.0,16,1
16068,781,347.0,89.0,15.0,0.0,0.0,0.0,67.0,3.0,50.0,229.0,45.8,validator,8,6,12,4,8,2,0.25,3.0,16,1
16069,781,232.0,167.0,26.0,0.0,0.0,0.0,71.0,5.2,82.0,149.0,29.8,validator,8,6,12,4,8,2,0.25,3.0,16,1
16070,781,253.0,161.0,25.0,0.0,0.0,0.0,91.0,5.0,83.0,214.0,42.8,validator,8,6,12,4,8,2,0.25,3.0,16,1
16071,781,290.0,92.0,14.0,0.0,0.0,0.0,67.0,2.8,51.0,232.0,46.4,validator,8,6,12,4,8,2,0.25,3.0,16,1
16072,781,253.5,165.0,26.0,0.0,0.0,0.0,71.0,5.2,81.0,150.0,30.0,validator,8,6,12,4,8,2,0.25,3.0,16,1
16073,781,268.0,163.0,25.0,0.0,0.0,0.0,92.0,5.0,84.0,282.0,56.4,validator,8,6,12,4,8,2,0.25,3.0,16,1
16074,781,258.0,93.0,14.0,0.0,0.0,0.0,67.0,2.8,51.4,169.0,33.8,validator,8,6,12,4,8,2,0.25,3.0,16,1
16075,781,283.0,225.0,35.0,0.0,0.0,0.0,70.0,7.0,108.4,229.0,45.8,validator,8,6,12,4,8,2,0.25,3.0,16,1
16076,781,236.0,108.0,17.0,0.0,0.0,0.0,92.0,3.4,58.8,193.0,38.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
16077,781,290.5,160.0,26.0,0.0,0.0,0.0,67.0,5.2,83.0,186.0,37.2,validator,8,6,12,4,8,2,0.25,3.0,16,1
16078,781,251.5,148.0,23.0,0.0,0.0,0.0,70.0,4.6,72.8,239.0,47.8,validator,8,6,12,4,8,2,0.25,3.0,16,1
16079,781,218.0,123.0,19.0,0.0,0.0,0.0,91.0,3.8,65.6,169.0,33.8,validator,8,6,12,4,8,2,0.25,3.0,16,1
16080,781,279.0,171.0,26.0,0.0,0.0,0.0,67.0,5.2,87.2,223.0,44.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
16081,781,283.5,125.0,21.0,0.0,0.0,0.0,71.0,4.2,63.0,234.0,46.8,validator,8,6,12,4,8,2,0.25,3.0,16,1
16082,781,200.5,155.0,24.0,0.0,0.0,0.0,92.0,4.8,80.4,136.0,27.2,validator,8,6,12,4,8,2,0.25,3.0,16,1
16083,781,230.5,165.0,26.0,0.0,0.0,0.0,67.0,5.2,85.0,235.0,47.0,validator,8,6,12,4,8,2,0.25,3.0,16,1
16084,781,356.0,97.0,15.0,0.0,0.0,0.0,71.0,3.0,49.6,238.0,47.6,validator,8,6,12,4,8,2,0.25,3.0,16,1
16085,781,230.0,165.0,26.0,0.0,0.0,0.0,92.0,5.2,85.2,122.0,24.4,validator,8,6,12,4,8,2,0.25,3.0,16,1
16086,781,318.0,170.0,26.0,0.0,0.0,0.0,67.0,5.2,86.8,239.0,47.8,validator,8,6,12,4,8,2,0.25,3.0,16,1
16087,781,286.0,85.0,13.0,0.0,0.0,0.0,71.0,2.6,44.0,229.0,45.8,validator,8,6,12,4,8,2,0.25,3.0,16,1
16088,781,227.5,169.0,26.0,0.0,0.0,0.0,92.0,5.2,86.8,171.0,34.2,validator,8,6,12,4,8,2,0.25,3.0,16,1
16089,781,227.0,162.0,24.0,0.0,0.0,0.0,67.0,4.8,83.0,241.0,48.2,validator,8,6,12,4,8,2,0.25,3.0,16,1
16090,781,330.5,127.0,21.0,0.0,0.0,0.0,71.0,4.2,63.8,200.0,40.0,validator,8,6,12,4,8,2,0.25,3.0,16,1
16091,781,300.5,170.0,27.0,0.0,0.0,0.0,92.0,5.4,87.6,214.0,42.8,validator,8,6,12,4,8,2,0.25,3.0,16,1
